generation,best_fitness,mean_fitness,best_macro_f1_val,best_recall_high_val,best_interpretability_penalty,best_deviation_penalty
110,0.4094665225311297,0.4093859694470515,0.5042042612066528,0.275,0.0,0.015280170964310143
111,0.40947117031218916,0.4094023315050021,0.5042042612066528,0.275,0.0,0.015256932059012898
112,0.40947117031218916,0.40941319029673234,0.5042042612066528,0.275,0.0,0.015256932059012898
113,0.40949339240314653,0.40943004530587884,0.5042042612066528,0.275,0.0,0.015145821604226041
114,0.409503980692857,0.40944083267480275,0.5042042612066528,0.275,1.851442975539373e-14,0.01509288015565521
115,0.409503980692857,0.4094487658397785,0.5042042612066528,0.275,1.851442975539373e-14,0.01509288015565521
116,0.409503980692857,0.4094535278124693,0.5042042612066528,0.275,1.851442975539373e-14,0.01509288015565521
117,0.40953417123092856,0.40946511418166087,0.5042042612066528,0.275,0.0,0.014941927465315828
118,0.40955501683338563,0.4094766590281734,0.5042042612066528,0.275,0.0,0.014837699453030522
119,0.40955501683338563,0.40948616742854205,0.5042042612066528,0.275,0.0,0.014837699453030522
120,0.40955501683338563,0.40949304105551526,0.5042042612066528,0.275,0.0,0.014837699453030522
121,0.40955501683338563,0.4094983676148896,0.5042042612066528,0.275,0.0,0.014837699453030522
122,0.40957312999675066,0.40950712232541314,0.5042042612066528,0.275,0.0,0.014747133636205445
123,0.40958234710544567,0.4095160086730968,0.5042042612066528,0.275,0.0,0.014701048092730267
124,0.40968336994587345,0.40952613978087365,0.5042042612066528,0.275,0.0,0.01419593389059143
125,0.40968336994587345,0.4095412072757451,0.5042042612066528,0.275,0.0,0.01419593389059143
126,0.40968336994587345,0.40955488048458544,0.5042042612066528,0.275,0.0,0.01419593389059143
127,0.40968336994587345,0.4095707060143091,0.5042042612066528,0.275,0.0,0.01419593389059143
128,0.40970380007430063,0.4095970080211163,0.5042042612066528,0.275,0.0,0.014093783248455423
129,0.40970397532715724,0.4096128471607604,0.5042042612066528,0.275,0.0,0.014092906984172586
130,0.40970397532715724,0.40963048804194446,0.5042042612066528,0.275,0.0,0.014092906984172586
131,0.40980123833903137,0.40965304798054153,0.5042042612066528,0.275,0.0,0.013606591924801842
132,0.4098031540671436,0.4096733647689202,0.5042042612066528,0.275,0.0,0.013597013284240496
133,0.409805345265565,0.40969101241526046,0.5042042612066528,0.275,0.0,0.013586057292133637
134,0.409805345265565,0.4097039142978633,0.5042042612066528,0.275,0.0,0.013586057292133637
135,0.409855822386224,0.4097254942545992,0.5042042612066528,0.275,0.0,0.01333367168883885
136,0.409855822386224,0.40974615225585287,0.5042042612066528,0.275,0.0,0.01333367168883885
137,0.409855822386224,0.40976551286445695,0.5042042612066528,0.275,0.0,0.01333367168883885
138,0.409855822386224,0.40978097866759927,0.5042042612066528,0.275,0.0,0.01333367168883885
139,0.409855822386224,0.40978208939718136,0.5042042612066528,0.275,0.0,0.01333367168883885
140,0.4098653394881873,0.4098003875372788,0.5042042612066528,0.275,1.653253711216592e-13,0.013286086178856658
141,0.40986844697463215,0.4098113027141418,0.5042042612066528,0.275,0.0,0.013270548746797905
142,0.409884276347591,0.4098230376192797,0.5042042612066528,0.275,0.0,0.013191401882003668
143,0.409884276347591,0.409829117851719,0.5042042612066528,0.275,0.0,0.013191401882003668
144,0.40991720918832836,0.4098407185998099,0.5042042612066528,0.275,0.0,0.01302673767831681
145,0.40991720918832836,0.4098472166408775,0.5042042612066528,0.275,0.0,0.01302673767831681
146,0.40991720918832836,0.4098562811829673,0.5042042612066528,0.275,0.0,0.01302673767831681
147,0.40991720918832836,0.40986260894393656,0.5042042612066528,0.275,0.0,0.01302673767831681
148,0.40991720918832836,0.4098668935538586,0.5042042612066528,0.275,0.0,0.01302673767831681
149,0.40991720918832836,0.40987227632069967,0.5042042612066528,0.275,0.0,0.01302673767831681
150,0.4099267020291883,0.4098826364104629,0.5042042612066528,0.275,0.0,0.012979273474017354
151,0.409954181437319,0.4098908826905634,0.5042042612066528,0.275,6.778434314072466e-13,0.01284187643268594
152,0.409954181437319,0.4098953620955841,0.5042042612066528,0.275,6.778434314072466e-13,0.01284187643268594
153,0.409954181437319,0.4098984112512691,0.5042042612066528,0.275,6.778434314072466e-13,0.01284187643268594
154,0.409954181437319,0.40990071450618426,0.5042042612066528,0.275,6.778434314072466e-13,0.01284187643268594
155,0.409954181437319,0.4099047079008404,0.5042042612066528,0.275,6.778434314072466e-13,0.01284187643268594
156,0.409954181437319,0.4099094160405344,0.5042042612066528,0.275,6.778434314072466e-13,0.01284187643268594
157,0.409954181437319,0.40991204578088003,0.5042042612066528,0.275,6.778434314072466e-13,0.01284187643268594
158,0.409954181437319,0.40991548997496124,0.5042042612066528,0.275,6.778434314072466e-13,0.01284187643268594
159,0.4099624666931853,0.4099206051474821,0.5042042612066528,0.275,0.0,0.012800450154032054
160,0.40998258243735386,0.40992709150564255,0.5042042612066528,0.275,0.0,0.01269987143318933
161,0.40998258243735386,0.40993248796858667,0.5042042612066528,0.275,0.0,0.01269987143318933
162,0.40998258243735386,0.4099364319883772,0.5042042612066528,0.275,0.0,0.01269987143318933
